chamical names,toxicity,cluster ID,mean values of features,median values of features
Rifampin,Hepatotoxic,3,0.278185460756129,0.243552465294425
Ketoconazole,Hepatotoxic,5,0.452045758325129,0.415139383091255
Clopidogrel,Hepatotoxic,4,0.322929776605207,0.25246584356329
Flucloxacillin,Hepatotoxic,4,0.283081341530476,0.229102717199458
Atorvastatin,Hepatotoxic,4,0.441621963713149,0.438801815529355
Methotrexate,Hepatotoxic,4,0.447641143987179,0.446873972959543
Dantrolene,Hepatotoxic,4,0.499863213113837,0.472877601238494
Nitrofurantoin,Hepatotoxic,4,0.45518081744848,0.413673774542223
Amiodarone,Hepatotoxic,4,0.524975684310962,0.497312575942709
Phenytoin,Hepatotoxic,4,0.533117511677363,0.540464246700828
Indomethacin,Hepatotoxic,4,0.520980163443414,0.519116785437426
Troglitazone,Hepatotoxic,4,0.503642790515253,0.517506603774067
Thorotrast,Hepatotoxic,4,0.349539595115642,0.320086238043594
Busulfan,Hepatotoxic,4,0.36970970453605,0.373610916342587
Allopurinol,Hepatotoxic,4,0.280133567758333,0.255489679788556
Azathioprine,Hepatotoxic,4,0.337195860809113,0.309161126833165
Diclofenac,Hepatotoxic,4,0.396019409272999,0.384259664728893
Carbamazepine,Hepatotoxic,4,0.424853813323984,0.429333274777718
Ibuprofen,Hepatotoxic,4,0.420173178483314,0.411460243188332
